"csu_id","trap_id","year","week","trap_date","county","method","spp","total","test_code","cq","copies_WNV","seq","zone"
"CSU6119","LV-020",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"LV"
"CSU6120","LV-020",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"LV"
"CSU6121","LV-020",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"LV"
"CSU6122","LV-020",2014,30,"2014-07-23","LC","L","Tarsalis",29,0,NA,NA,NA,"LV"
"CSU00000","LV-020",2014,30,"2014-07-23","LC","L","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU5946","LV-069",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"LV"
"CSU5947","LV-069",2014,30,"2014-07-21","LC","L","Tarsalis",31,0,NA,NA,NA,"LV"
"CSU5948","LV-069",2014,30,"2014-07-21","LC","L","Pipiens",6,0,NA,NA,NA,"LV"
"CSU00000","LV-074",2014,30,"2014-07-21","LC","L","Tarsalis",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-074",2014,30,"2014-07-21","LC","L","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-074GR",2014,30,"2014-07-21","LC","G","Tarsalis",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-074GR",2014,30,"2014-07-21","LC","G","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-078",2014,30,"2014-07-21","LC","L","Tarsalis",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-078",2014,30,"2014-07-21","LC","L","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-079GR",2014,30,"2014-07-21","LC","G","Tarsalis",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-079GR",2014,30,"2014-07-21","LC","G","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU6126","LV-087",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"LV"
"CSU6127","LV-087",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"LV"
"CSU6128","LV-087",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"LV"
"CSU6129","LV-087",2014,30,"2014-07-23","LC","L","Tarsalis",45,0,NA,NA,NA,"LV"
"CSU6130","LV-087",2014,30,"2014-07-23","LC","L","Pipiens",12,0,NA,NA,NA,"LV"
"CSU6014","LV-089",2014,30,"2014-07-22","LC","L","Tarsalis",4,0,NA,NA,NA,"LV"
"CSU00000","LV-089",2014,30,"2014-07-22","LC","L","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU5933","LV-095",2014,30,"2014-07-21","LC","L","Tarsalis",20,0,NA,NA,NA,"LV"
"CSU00000","LV-095",2014,30,"2014-07-21","LC","L","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-099",2014,30,"2014-07-21","LC","L","Tarsalis",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-099",2014,30,"2014-07-21","LC","L","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-100",2014,30,"2014-07-21","LC","L","Tarsalis",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-100",2014,30,"2014-07-21","LC","L","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-101",2014,30,"2014-07-21","LC","L","Tarsalis",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-101",2014,30,"2014-07-21","LC","L","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-102",2014,30,"2014-07-21","LC","L","Tarsalis",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-102",2014,30,"2014-07-21","LC","L","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU6033","LV-104",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"LV"
"CSU6034","LV-104",2014,30,"2014-07-22","LC","L","Tarsalis",50,1,NA,NA,NA,"LV"
"CSU6035","LV-104",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"LV"
"CSU6036","LV-104",2014,30,"2014-07-22","LC","L","Tarsalis",17,0,NA,NA,NA,"LV"
"CSU6032","LV-104",2014,30,"2014-07-22","LC","L","Pipiens",1,0,NA,NA,NA,"LV"
"CSU00000","LV-105",2014,30,"2014-07-22","LC","L","Tarsalis",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-105",2014,30,"2014-07-22","LC","L","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU6071","LV-110",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"LV"
"CSU6072","LV-110",2014,30,"2014-07-22","LC","L","Tarsalis",11,0,NA,NA,NA,"LV"
"CSU6073","LV-110",2014,30,"2014-07-22","LC","L","Pipiens",1,0,NA,NA,NA,"LV"
"CSU00000","LV-112",2014,30,"2014-07-22","LC","L","Tarsalis",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-112",2014,30,"2014-07-22","LC","L","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-113",2014,30,"2014-07-22","LC","L","Tarsalis",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-113",2014,30,"2014-07-22","LC","L","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU6118","LV-114",2014,30,"2014-07-23","LC","L","Tarsalis",40,0,NA,NA,NA,"LV"
"CSU00000","LV-114",2014,30,"2014-07-23","LC","L","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-116",2014,30,"2014-07-23","LC","L","Tarsalis",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-116",2014,30,"2014-07-23","LC","L","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-117",2014,30,"2014-07-23","LC","L","Tarsalis",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-117",2014,30,"2014-07-23","LC","L","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-118",2014,30,"2014-07-23","LC","L","Tarsalis",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-118",2014,30,"2014-07-23","LC","L","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU6133","LV-120",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"LV"
"CSU6134","LV-120",2014,30,"2014-07-23","LC","L","Tarsalis",47,0,NA,NA,NA,"LV"
"CSU6132","LV-120",2014,30,"2014-07-23","LC","L","Pipiens",1,0,NA,NA,NA,"LV"
"CSU00000","LV-121",2014,30,"2014-07-23","LC","L","Tarsalis",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-121",2014,30,"2014-07-23","LC","L","Pipiens",0,NA,NA,NA,NA,"LV"
"CSU00000","LV-122",2014,30,"2014-07-23","LC","L","Tarsalis",0,NA,NA,NA,NA,"LV"
